Date,Open,High,Low,Close,Adj Close,Volume
2019-11-29,57.230000,57.369999,56.849998,56.939999,53.540413,11292400
2019-12-02,57.340000,58.099998,57.279999,57.410000,53.982353,24715100
2019-12-03,57.000000,57.810001,56.680000,57.750000,54.302052,16233300
2019-12-04,57.830002,58.980000,57.549999,58.900002,55.383396,22257200
2019-12-05,58.860001,59.669998,58.799999,59.480000,55.928768,17149700
2019-12-06,59.880001,60.860001,59.820000,59.950001,56.370705,17765400
2019-12-09,60.590000,61.580002,60.400002,61.279999,57.621300,16110700
2019-12-10,61.029999,62.369999,60.930000,62.090000,58.382931,19224800
2019-12-11,62.869999,62.980000,61.959999,62.410000,58.683830,18262900
2019-12-12,62.419998,64.220001,62.419998,63.939999,60.122475,17353600
2019-12-13,64.040001,64.750000,63.790001,63.820000,60.009647,14526400
2019-12-16,63.099998,64.269997,63.009998,63.500000,59.708755,23018200
2019-12-17,63.799999,64.550003,63.540001,64.110001,60.282333,16207100
2019-12-18,63.869999,64.279999,62.970001,63.150002,59.379650,14824300
2019-12-19,63.180000,63.459999,62.740002,62.849998,59.097561,12928200
2019-12-20,63.580002,63.590000,62.919998,63.509998,59.718155,24137000
2019-12-23,63.549999,63.799999,63.080002,63.209999,59.436069,12914900
2019-12-24,63.020000,63.430000,63.009998,63.160000,59.389053,2890400
2019-12-26,63.230000,64.040001,63.180000,63.959999,60.141289,8187700
2019-12-27,64.169998,64.300003,63.830002,64.139999,60.310539,7684400
2019-12-30,64.089996,64.459999,63.639999,63.730000,59.925018,7862300
2019-12-31,63.590000,64.209999,63.509998,64.190002,60.357559,9378400
2020-01-02,63.849998,64.000000,63.139999,63.340000,59.978783,13163700
2020-01-03,62.610001,63.330002,62.549999,62.779999,59.448494,12984600
2020-01-06,62.900002,63.240002,62.669998,62.980000,59.637890,11311400
2020-01-07,62.840000,64.180000,62.770000,63.930000,60.537476,15551700
2020-01-08,64.050003,64.610001,63.860001,63.860001,60.471191,18527000
2020-01-09,64.139999,65.779999,64.120003,65.449997,61.976818,16169300
2020-01-10,65.449997,65.970001,65.040001,65.230003,61.768497,11698000
2020-01-13,65.430000,66.989998,65.370003,66.150002,62.639664,19243300
2020-01-14,65.809998,66.529999,65.570000,66.440002,62.914276,30560500
2020-01-15,66.430000,67.089996,66.430000,66.580002,63.046848,10937400
2020-01-16,66.629997,66.970001,66.510002,66.779999,63.236233,8435800
2020-01-17,66.750000,67.209999,66.699997,66.720001,63.179428,14375000
2020-01-21,66.699997,67.620003,66.529999,67.430000,63.851742,12519400
2020-01-22,67.910004,68.339996,67.220001,67.430000,63.851742,15186700
2020-01-23,67.129997,67.250000,66.029999,66.870003,63.321461,13183300
2020-01-24,66.389999,66.739998,63.610001,64.160004,60.755272,22453000
2020-01-27,63.259998,64.629997,63.090000,63.700001,60.319679,20951100
2020-01-28,64.129997,65.360001,63.900002,64.809998,61.370777,12761900
2020-01-29,65.019997,65.089996,64.129997,64.139999,60.736324,10763200
2020-01-30,63.799999,64.309998,63.389999,63.810001,60.423840,10783700
2020-01-31,63.630001,63.689999,62.509998,62.950001,59.609474,12898000
2020-02-03,63.099998,64.239998,63.049999,63.580002,60.206047,15986500
2020-02-04,64.070000,64.940002,64.050003,64.290001,60.878372,11740200
